repeatPercent,shortSV,middleSV,longSV,rmb,HMDP,readLen,depth,type
0.62,0.82,0.08,0.1,24.72187886,0.212121212,20000,10,nanosv
0.64,0.12,0.78,0.1,20.21018593,0.272727273,25000,30,pbsv
0.71,0.08,0.11,0.81,1.769911504,0.060606061,2000,70,nanosv
0.55,0.07,0.77,0.16,1.363047775,0.353535354,20000,30,pbsv
0.51,0.05,0.13,0.82,1.469939732,0.101010101,10000,50,sniffles
0.62,0.82,0.08,0.1,30.90234858,0.212121212,25000,130,pbsv
0.76,0.11,0.05,0.84,1,0,15000,130,pbsv
0.505,0.09,0.78,0.13,8.741258741,0.252525253,10000,150,pbsv
0.79,0.79,0.1,0.11,1,0,15000,110,pbsv
0.64,0.12,0.78,0.1,2.579535684,0.262626263,3000,150,pbsv
0.76,0.11,0.05,0.84,1,0,3000,90,pbsv
0.79,0.79,0.1,0.11,1,0,1000,70,nanosv
0.505,0.09,0.78,0.13,8.413967186,0.272727273,20000,50,pbsv
0.51,0.05,0.13,0.82,1,0,2000,90,cutesv
0.64,0.12,0.78,0.1,2.579535684,0.262626263,3000,90,nanosv
0.71,0.08,0.11,0.81,2.2737608,0.222222222,5000,110,pbsv
0.64,0.12,0.78,0.1,16.16814875,0.272727273,20000,90,pbsv
0.51,0.05,0.13,0.82,1,0,1000,10,picky
0.475,0.82,0.08,0.1,1.591343094,0.333333333,20000,70,pbsv
0.52,0.83,0.09,0.08,3.144654088,0.111111111,1000,30,nanosv
0.79,0.79,0.1,0.11,1,0,10000,150,pbsv
0.71,0.08,0.11,0.81,9.095043201,0.222222222,20000,90,sniffles
0.505,0.17,0.04,0.79,4.088307441,0.272727273,20000,70,sniffles
0.475,0.82,0.08,0.1,1.118151323,0.01010101,3000,90,pbsv
0.55,0.07,0.77,0.16,1,0,2000,50,nanosv
0.79,0.79,0.1,0.11,1,0,3000,70,cutesv
0.52,0.83,0.09,0.08,5.219206681,0.212121212,10000,70,pbsv
0.71,0.08,0.11,0.81,4.547521601,0.222222222,10000,10,pbsv
0.76,0.11,0.05,0.84,1,0,2000,10,pbsv
0.505,0.17,0.04,0.79,1.976284585,0.03030303,1000,150,cutesv
0.475,0.82,0.08,0.1,1,0,1000,30,nanosv
0.52,0.83,0.09,0.08,4.789272031,0.181818182,5000,130,cutesv
0.505,0.09,0.78,0.13,13.11188811,0.252525253,15000,110,pbsv
0.64,0.12,0.78,0.1,2.579535684,0.262626263,3000,30,nanosv
0.79,0.79,0.1,0.11,1,0,1000,130,cutesv
0.64,0.12,0.78,0.1,1.955034213,0.232323232,2000,90,nanosv
0.735,0.06,0.86,0.08,1,0,10000,90,pbsv
